catalog,key,comment,translation
app,Vandaag & morgen,,Vandaag & morgen
app,Vandaag + morgen,,Vandaag + morgen
app,Vast interval,,Vast interval
app,Vaste regelmaat,,Vaste regelmaat
app,Veiligheidskopie,,Veiligheidskopie
app,Verbonden,,Verbonden
app,Verjaardag,,Verjaardag
app,Verplaats,,Verplaats
app,Verplaats agenda-item,,Verplaats agenda-item
app,Verplaats item,,Verplaats item
app,Verplaats naar %@,,Verplaats naar %@
app,Verplaats naar andere datum,,Verplaats naar andere datum
app,Verplaats naar:,,Verplaats naar:
app,Verplaatsen of verwijderen,,Verplaatsen of verwijderen
app,Verplaatsmodus afsluiten,,Verplaatsmodus afsluiten
app,Verplaatsopties,,Verplaatsopties
app,Verwijder,,Verwijder
app,Verwijder alle afgeronde taken,,Verwijder alle afgeronde taken
app,Verwijder groep,,Verwijder groep
app,Verwijder herhaling,,Verwijder herhaling
app,Verwijderde items,,Verwijderde items
app,Verwijderde items tonen,,Verwijderde items tonen
app,Verwijderen,,Verwijderen
app,Verwijderen mislukt,,Verwijderen mislukt
app,Vierde,,Vierde
app,Voeg item toe,,Voeg item toe
app,Voeg toe,,Voeg toe
app,Voeg toe en ga door,,Voeg toe en ga door
app,Voeg toe en maak nog een item,,Voeg toe en maak nog een item
app,Volgende 3 maanden laden…,,Volgende 3 maanden laden…
app,Volgende datum,,Volgende datum
app,Volgende herhalingen meeverschuiven?,,Volgende herhalingen meeverschuiven?
app,Volgende herhalingen zijn meeverschoven,,Volgende herhalingen zijn meeverschoven
app,Volgende stap,,Volgende stap
app,Volgende: %@,,Volgende: %@
app,Volgorde en uiterlijk,,Volgorde en uiterlijk
app,Volgorde van %@ aanpassen,,Volgorde van %@ aanpassen
app,Volledige backup bewaard.,,Volledige backup bewaard.
app,Volledige backup maken,,Volledige backup maken
app,Voor elke taak staat hoe lang die openstaat. Tik hierop om de taak naar een andere categorie of de kalender te verplaatsen.,,Voor elke taak staat hoelang die al openstaat. Tik daarop om de taak naar een andere categorie of naar de agenda te verplaatsen.
app,Voorbeeld,,Voorbeeld
app,Voorbeeld van de Actieknop,,Voorbeeld van de Actieknop
app,Voorvoegsel,,Voorvoegsel
app,Vorige stap,,Vorige stap
app,Vul een geldig geboortejaar in.,,Vul een geldig geboortejaar in.
app,Vul een titel in om deze herhaling te bewaren.,,Vul een titel in om deze herhaling te bewaren.
app,Wat,,Wat
app,Wat wil je niet vergeten?,,Wat wil je niet vergeten?
app,Week begint op,,Week begint op
app,Weekdag,,Weekdag
app,Weekdag van een maand,,Weekdag van een maand
app,Weekdag van maand,,Weekdag van de maand
app,Weeknummering,,Weeknummering
app,Weer bij toekomstige dagen,,Weer bij toekomstige dagen
app,Weer kon niet worden geladen: %@,,Weer kon niet worden geladen: %1$@
app,Weergave,,Weergave
app,Weerlocatie,,Weerlocatie
app,Weken,,Weken
app,Welke,,Welke
app,Widgetformaat,,Widgetformaat
app,Wie,,Wie
app,Wijzig en ruim op,,Wijzig en ruim op
app,Wijzig herhaling,,Wijzig herhaling
app,Wil je dezelfde datumverschuiving toepassen op alle volgende voorkomens van dit terugkerende item?,,Wil je dezelfde datumverschuiving toepassen op alle volgende voorkomens van dit terugkerende item?
app,Wit,,Wit
app,Woorden afsnijden,,Woorden afsnijden
app,Wordt ieder jaar herhaald op de datum hierboven.,,Wordt ieder jaar herhaald op de datum hierboven.
app,Wordt iedere drie maanden herhaald vanaf de eerstvolgende datum.,,Wordt iedere drie maanden herhaald vanaf de eerstvolgende datum.
app,Zet backup terug,,Zet backup terug
app,Zet een item terug naar waar het vandaan kwam met de terugzetknop.,,Wil je iets terugzetten? Tik op de terugzetknop om het item terug te plaatsen waar het vandaan kwam.
app,Zet terug naar %@,,Zet terug naar %@
app,Zoek in Afgerond,,Zoek in Afgerond
app,Zoeken,,Zoeken
app,Zoeken sluiten,,Zoeken sluiten
app,Zoekopdracht wissen,,Zoekopdracht wissen
app,Zondag,,Zondag
app,app.name,,Forget It
app,birthday.status.birthdayInDays,,Is over %lld dagen jarig
app,birthday.status.birthdayInOneDay,,Is over %lld dag jarig
app,birthday.status.today,,Is vandaag jarig
app,birthday.status.turnedToday,,Is vandaag %lld geworden
app,birthday.status.turnsInDays,,Wordt over %2$lld dagen %1$lld
app,birthday.status.turnsInOneDay,,Wordt over %2$lld dag %1$lld
app,category.recurring.birthdays,,Verjaardagen
app,category.recurring.general,,Algemeen
app,category.recurring.holidays,,Feestdagen
app,category.todo.groceries,,Boodschappen
app,category.todo.longTerm,,Lange termijn
app,category.todo.soon,,Binnenkort
app,country.BE,,België
app,country.DE,,Duitsland
app,country.FR,,Frankrijk
app,country.GB,,Verenigd Koninkrijk
app,country.MA,,Marokko
app,country.NL,,Nederland
app,country.SR,,Suriname
app,country.TR,,Turkije
app,country.US,,Verenigde Staten
app,csv.header.category,,categorie
app,csv.header.content,,inhoud
app,csv.header.dateTime,,datumtijd
app,csv.header.deleted,,verwijderd 1/0
app,csv.header.type,,soort
app,error.syncFailed,,Synchroniseren is mislukt: %@
app,even,,even
app,feedback.deleted,,‘%@’ verwijderd
app,feedback.movedTo,,‘%1$@’ verplaatst naar %2$@
app,feedback.movedToFinished,,‘%@’ is verplaatst naar Afgerond
app,feedback.permanentlyDeleted,,‘%@’ definitief verwijderd
app,feedback.restored,,‘%@’ teruggezet
app,history.loadOlder,,Oudere items laden (%lld)
app,history.noCompletedFilter,,Geen afgeronde %@-items
app,history.restoreTo,,Zet terug naar %@
app,holiday.all-saints,,Allerheiligen
app,holiday.amazigh-new-year,,Amazigh Nieuwjaar
app,holiday.armistice,,Wapenstilstand
app,holiday.ascension,,Hemelvaartsdag
app,holiday.assumption,,Maria-Hemelvaart
app,holiday.bastille-day,,Quatorze Juillet
app,holiday.boxing-day,,Tweede kerstdag
app,holiday.children-day,,Dag van het Kind
app,holiday.christmas,,Eerste kerstdag
app,holiday.columbus-day,,Columbusdag
app,holiday.democracy-day,,Dag van Democratie en Nationale Eenheid
app,holiday.early-may,,Feestdag begin mei
app,holiday.easter-monday,,Paasmaandag
app,holiday.easter-sunday,,Eerste paasdag
app,holiday.eid-al-adha,,Offerfeest (Eid al-Adha)
app,holiday.eid-al-fitr,,Suikerfeest (Eid al-Fitr)
app,holiday.fathers-day,,Vaderdag
app,holiday.flemish-community,,Feestdag van de Vlaamse Gemeenschap
app,holiday.french-community,,Feestdag van de Franse Gemeenschap
app,holiday.german-community,,Feestdag van de Duitstalige Gemeenschap
app,holiday.good-friday,,Goede Vrijdag
app,holiday.green-march,,Groene Mars
app,holiday.independence-day,,Onafhankelijkheidsdag
app,holiday.independence-manifesto,,Manifest van de Onafhankelijkheid
app,holiday.indigenous-day,,Dag der Inheemsen
app,holiday.islamic-new-year,,Islamitisch Nieuwjaar
app,holiday.juneteenth,,Juneteenth
app,holiday.keti-koti,,Keti Koti
app,holiday.kings-day,,Koningsdag
app,holiday.labor-day,,Dag van de Arbeid
app,holiday.labour-day,,Dag van de Arbeid
app,holiday.labour-solidarity-day,,Dag van de Arbeid en Solidariteit
app,holiday.liberation-day,,Bevrijdingsdag
app,holiday.maroons-day,,Dag der Marrons
app,holiday.mawlid,,Geboortedag van de profeet (Mawlid)
app,holiday.memorial-day,,Herdenkingsdag
app,holiday.mlk-day,,Martin Luther King Jr.-dag
app,holiday.morocco-independence,,Onafhankelijkheidsdag
app,holiday.mothers-day,,Moederdag
app,holiday.national-day,,Nationale feestdag
app,holiday.new-year,,Nieuwjaarsdag
app,holiday.oued-eddahab-day,,Terugkeer van Oued Eddahab
app,holiday.presidents-day,,Presidentendag
app,holiday.prinsjesdag,,Prinsjesdag
app,holiday.ramadan-start,,Begin van Ramadan
app,holiday.remembrance-day,,Dodenherdenking
app,holiday.republic-day,,Dag van de Republiek
app,holiday.revolution-day-ma,,Revolutie van de Koning en het Volk
app,holiday.sinterklaas,,Sinterklaas
app,holiday.spring-bank,,Voorjaarsbankfeestdag
app,holiday.summer-bank,,Zomerbankfeestdag
app,holiday.suriname-independence,,Srefidensi
app,holiday.thanksgiving,,Thanksgiving
app,holiday.throne-day,,Troonfeest
app,holiday.unity-day,,Dag van de Duitse Eenheid
app,holiday.unity-day-ma,,Dag van de Eenheid
app,holiday.veterans-day,,Veteranendag
app,holiday.victory-day,,Dag van de Overwinning
app,holiday.victory-day-tr,,Dag van de Overwinning
app,holiday.whit-monday,,Pinkstermaandag
app,holiday.whit-sunday,,Eerste pinksterdag
app,holiday.youth-day,,Jeugd- en Sportdag
app,holiday.youth-day-ma,,Dag van de Jeugd
app,iCloud,,iCloud
app,iCloud is beperkt op dit apparaat,,iCloud is beperkt op dit apparaat
app,iCloud is tijdelijk niet beschikbaar,,iCloud is tijdelijk niet beschikbaar
app,iCloud moet op dit apparaat zijn ingeschakeld. Zonder iCloud blijven gegevens alleen op dit apparaat beschikbaar.,,iCloud moet op dit apparaat zijn ingeschakeld. Zonder iCloud blijven gegevens alleen op dit apparaat beschikbaar.
app,iCloud-instelling niet gewijzigd: %@,,iCloud-instelling niet gewijzigd: %@
app,iCloud-status kon niet worden bepaald,,iCloud-status kon niet worden bepaald
app,iCloud-synchronisatie,,iCloud-synchronisatie
app,kalender vandaag,,kalender vandaag
app,language.system,,Systeem
app,lockscreen.widget.instructions,,De toegangsschermwidget is beschikbaar op iPhone 11 en nieuwere modellen en op iPhone SE (2e generatie) en nieuwer. Houd het toegangsscherm ingedrukt en tik op Pas aan › Toegangsscherm › Voeg widgets toe. Kies daarna de widget van %@.
app,notification.title,,Forget It
app,notifications.permission.settings,,Geef ‘%@’ toestemming voor meldingen via de iOS-instellingen.
app,onboarding.agenda.example.dinner,,18u uit eten
app,onboarding.agenda.example.sports,,16u sporten
app,onboarding.history.emailAccent,,e-mail
app,onboarding.history.example,,Dit is een voorbeeld
app,onboarding.history.searchInstruction,,Gebruik de zoekbalk om alleen afgeronde items weer te geven die aan je zoekterm voldoen. Zoek nu op ‘voorbeeld’.
app,onboarding.history.searchTerm,,voorbeeld
app,oneven,,oneven
app,ordinal.first,,eerste
app,ordinal.fourth,,vierde
app,ordinal.last,,laatste
app,ordinal.second,,tweede
app,ordinal.third,,derde
app,quick.addedTo,,Toegevoegd aan %@
app,recurrence.annuallyOn,,Jaarlijks op %@
app,recurrence.approximatelyEveryDays,,Ongeveer elke %lld dagen
app,recurrence.approximatelyEveryMonths,,Ongeveer elke %lld maanden
app,recurrence.approximatelyEveryWeeks,,Ongeveer elke %lld weken
app,recurrence.approximatelyEveryYears,,Ongeveer elke %lld jaar
app,recurrence.everyDays,,Elke %lld dagen
app,recurrence.everyMonthsOn,,Elke %1$lld maanden op de %2$@
app,recurrence.everyParityWeekOn,,Elke %1$@ week op %2$@
app,recurrence.everyWeeksOn,,Elke %1$lld weken op %2$@
app,recurrence.everyYearsOn,,Elke %1$lld jaar op %2$@
app,recurrence.frequency.add,,Voeg frequentie toe
app,recurrence.frequency.unrecognized,,Frequentie nog niet herkend
app,recurrence.monthlyOn,,Maandelijks op de %@
app,recurrence.ordinalWeekdayOfMonth,,%1$@ %2$@ van de maand
app,recurrence.ordinalWeekdayOfNamedMonth,,%1$@ %2$@ van %3$@
app,recurrence.quarterlyOn,,Elk kwartaal op de %@
app,recurrence.weeklyOn,,Wekelijks op %@
app,recurring.loading,,Herhalingen worden geladen…
app,recurring.rescheduling,,Bezig met opnieuw doorplannen…
app,recurring.reschedulingFailed,,Opnieuw doorplannen is mislukt
app,recurring.retry,,Opnieuw
app,recurring.subtitle.birthday.many,,%lld verjaardagen
app,recurring.subtitle.birthday.one,,%lld verjaardag
app,recurring.subtitle.custom.many,,%lld zelf toegevoegd
app,recurring.subtitle.custom.one,,%lld zelf toegevoegd
app,recurring.subtitle.holiday.many,,%lld feestdagen
app,recurring.subtitle.holiday.one,,%lld feestdag
app,recurring.subtitle.recurrence.many,,%lld herhalingen
app,recurring.subtitle.recurrence.one,,%lld herhaling
app,recurring.subtitle.reminder.many,,%lld herinneringen
app,recurring.subtitle.reminder.one,,%lld herinnering
app,section.calendar,,Kalender
app,section.finished,,Afgerond
app,section.recurring,,Herhalingen
app,section.todo,,Taken
app,settings.language,,Taal
app,settings.testAgainInSeconds,,Opnieuw testen over %lld sec.
app,settings.weekdayFormatting,,Weekdagnotatie
app,speech.error.microphone,,Geen toegang tot de microfoon.
app,speech.error.permission,,Geen toestemming voor spraakherkenning.
app,speech.error.startFailed,,Spraakopname kon niet starten.
app,speech.error.unavailable,,Spraakherkenning is momenteel niet beschikbaar.
app,speech.stopWord,,klaar
app,todo.age.createdToday,,Vandaag aangemaakt
app,todo.age.daysOpen,,%lld dagen open
app,todo.age.daysShort,,%lldd
app,todo.age.monthsShort,,%lldm
app,todo.age.now,,nu
app,todo.age.weeksShort,,%lldw
app,todo.movedToDate,,‘%1$@’ verplaatst naar %2$@
app,tutorial.highlight.yellowWord,,geel
app,tutorial.step,,Stap %1$lld/%2$lld
app,typ iets,,Typ iets
app,unit.day.one,,dag
app,unit.day.other,,dagen
app,unit.month.one,,maand
app,unit.month.other,,maanden
app,unit.week.one,,week
app,unit.week.other,,weken
app,unit.year.one,,jaar
app,unit.year.other,,jaar
app,weather.location.explanation,,Kies hoe %@ de plaats voor je weersverwachting bepaalt.
app,widget.preview.calendar.blindDate,,18:00 Blind date
app,widget.preview.calendar.bungeeJumping,,14:30 Bungeejumpen
app,widget.preview.calendar.dinnerWithFriends,,19:30 Uit eten met vrienden
app,widget.preview.calendar.gymSession,,16:00 Sportsessie
app,widget.preview.calendar.jobInterview,,10:00 Sollicitatiegesprek
app,widget.preview.calendar.justinBieber,,16:30 Afspreken met Justin Bieber
app,widget.preview.calendar.karaokeBattle,,21:00 Karaokewedstrijd
app,widget.preview.calendar.pizzaTasting,,17:00 Pizzaproeverij
app,widget.preview.calendar.rooftopParty,,22:00 Geheim dakfeest
app,widget.preview.calendar.tattooAppointment,,15:30 Tattooafspraak
app,widget.preview.task.annualShower,,Jaarlijkse douche nemen
app,widget.preview.task.cleanHouse,,Het huis schoonmaken
app,widget.preview.task.deleteSocialMedia,,Alle social media van telefoon verwijderen
app,widget.preview.task.finishPlaylist,,De afspeellijst afmaken
app,widget.preview.task.newHobby,,Nieuwe hobby zoeken
app,widget.preview.task.newRecipe,,Een nieuw recept proberen
app,widget.preview.task.planRoadTrip,,De roadtrip plannen
app,widget.preview.task.printPhotos,,Foto’s afdrukken in de winkel
app,widget.preview.task.replyFanMail,,Fanmail beantwoorden
app,widget.preview.task.sellClothes,,Oude kleding online verkopen
app,zodiac.aquarius,,Waterman
app,zodiac.aries,,Ram
app,zodiac.cancer,,Kreeft
app,zodiac.capricorn,,Steenbok
app,zodiac.gemini,,Tweelingen
app,zodiac.leo,,Leeuw
app,zodiac.libra,,Weegschaal
app,zodiac.pisces,,Vissen
app,zodiac.sagittarius,,Boogschutter
app,zodiac.scorpio,,Schorpioen
app,zodiac.taurus,,Stier
app,zodiac.virgo,,Maagd
app,°,,°
app,·,,·
app,· reminder %lld,,· herinnering %lld
app,‘%@’ definitief verwijderd,,‘%@’ definitief verwijderd
app,‘%@’ teruggezet,,‘%@’ teruggezet
app,‘%@’ verwijderd,,‘%@’ verwijderd
app,↓,,↓
widget,%lld,,%lld
widget,%lldd,,%lldd
widget,1,,1
widget,Geen open taken,,Geen open taken
widget,Geen open taken ✓,,Geen open taken ✓
widget,Kalender,,Kalender
widget,Lege agenda ✓,,Lege agenda ✓
widget,Taken,,Taken
widget,widget.gallery.description,,Toont automatisch de eerstvolgende items uit je agenda.
widget,widget.gallery.name,,Eerstvolgende kalenderitems
widget,widget.noUpcomingItems,,Geen komende items
